1,FastEthernet0/0,down,down
2,FastEthernet0/1,down,down
3,FastEthernet1/0,up,up
4,FastEthernet1/1,up,up
5,FastEthernet1/2,up,down
6,FastEthernet1/3,up,down
7,FastEthernet1/4,up,down
8,FastEthernet1/5,up,down
9,FastEthernet1/6,up,down
10,FastEthernet1/7,up,down
11,FastEthernet1/8,up,down
12,FastEthernet1/9,up,down
13,FastEthernet1/10,up,down
14,FastEthernet1/11,up,down
15,FastEthernet1/12,up,down
16,FastEthernet1/13,up,down
17,FastEthernet1/14,up,up
18,FastEthernet1/15,up,up
21,Vlan1,down,down
22,Vlan10,up,up
